-0.0332601;0.317246;-8.48283;-9.49385;0.193721;3.27232;;
-0.551924;-0.147568;31.0274;-2.43488;-7.93768;0.027444;;
0.0481485;-0.109085;-3.06236;-0.00324651;1.97626e-323;5.77563e-321;;
0;0;1;0;0;0;;
-0.0327563;0.30859;-8.08086;-9.53768;0.178612;3.17615;;
-0.54077;-0.133187;32.1304;-2.26417;-8.42457;0.0250112;;
0.0471329;-0.115528;-3.17007;-0.00271355;39;4.00193e-322;;
0;0;1;0;-3.20432;0;;
-0.031842;0.299778;-7.72326;-9.57359;0.16572;3.08546;;
-0.529536;-0.120339;33.2169;-2.10593;-8.92607;0.0227853;;
0.0460306;-0.121743;-3.27671;-0.00226498;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0312024;0.29075;-7.36882;-9.60528;0.151092;2.9998;;
-0.518394;-0.108327;34.2763;-1.97604;-9.4422;0.0205786;;
0.0448632;-0.127766;-3.3817;-0.00134584;39;4.00193e-322;;
0;0;1;0;-3.58261;0.00528857;;
-0.0307647;0.28162;-7.01973;-9.63309;0.135013;2.91876;;
-0.507264;-0.0985278;35.3497;-1.82276;-9.97294;0.0188993;;
0.0436461;-0.133564;-3.48647;-0.00161043;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0301174;0.272533;-6.70387;-9.65616;0.120594;2.84199;;
-0.496373;-0.0892639;36.3996;-1.69601;-10.5183;0.0172102;;
0.0424034;-0.139205;-3.59005;-0.00136295;39;4.00193e-322;;
0;0;1;0;-3.98347;0;;
-0.0297735;0.263446;-6.38385;-9.67683;0.103917;2.76914;;
-0.48571;-0.0809258;37.4407;-1.57805;-11.0783;0.0156712;;
0.0411427;-0.144689;-3.69272;-0.00116284;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0293863;0.25446;-6.08412;-9.69437;0.0877624;2.69994;;
-0.475332;-0.0731833;38.4686;-1.47669;-11.6528;0.0141876;;
0.039877;-0.150037;-3.79456;-0.00070257;39;4.00193e-322;;
0;0;1;0;-4.40601;0.00237933;;
-0.0290126;0.245593;-5.80013;-9.70941;0.0717651;2.6341;;
-0.46518;-0.0666163;39.5004;-1.36564;-12.242;0.0129912;;
0.0386109;-0.155241;-3.89616;-0.000854308;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0287784;0.236848;-5.52029;-9.72264;0.054669;2.5714;;
-0.455344;-0.0604714;40.5209;-1.2699;-12.8457;0.011826;;
0.0373526;-0.160337;-3.99698;-0.000737758;39;4.00193e-322;;
0;0;1;0;-4.85071;0;;
-0.028606;0.228253;-5.24993;-9.73414;0.0371635;2.51161;;
-0.445805;-0.054902;41.5362;-1.18039;-13.4641;0.010763;;
0.0361062;-0.165328;-4.0973;-0.000639899;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0285058;0.219819;-4.98697;-9.74416;0.0190717;2.45454;;
-0.436564;-0.0498459;42.547;-1.09661;-14.097;0.00979234;;
0.0348751;-0.170225;-4.19716;-0.000557509;39;4.00193e-322;;
0;0;1;0;-5.31732;0;;
-0.0284309;0.211555;-4.73504;-9.7528;0.000917508;2.4;;
-0.427645;-0.0450622;43.5494;-1.02669;-14.7446;0.00883126;;
0.0336631;-0.175043;-4.29649;-0.000186081;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0284193;0.203464;-4.48952;-9.76035;-0.0178083;2.34783;;
-0.418989;-0.0409047;44.5532;-0.951983;-15.4067;0.00803037;;
0.0324698;-0.179776;-4.39562;-0.000162154;39;4.00193e-322;;
0;0;1;0;-5.8059;0.00181696;;
-0.0284542;0.195546;-4.25116;-9.76692;-0.0369508;2.29788;;
-0.410621;-0.0371065;45.5535;-0.882126;-16.0834;0.00729467;;
0.0312978;-0.184441;-4.49443;-0.000134056;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0285025;0.187805;-4.02292;-9.77258;-0.0560497;2.25001;;
-0.402533;-0.0336317;46.5508;-0.816745;-16.7747;0.00661813;;
0.0301479;-0.189043;-4.59295;-0.000100931;39;4.00193e-322;;
0;0;1;0;-6.31643;0.00151025;;
-0.0286474;0.180232;-3.79437;-9.77761;-0.0764639;2.2041;;
-0.394697;-0.0305693;47.548;-0.748949;-17.4806;0.00604767;;
0.0290197;-0.193585;-4.69128;-0.000295066;1.97626e-323;5.77563e-321;;
0;0;1;0;4.67414e-310;4.67414e-310;;
-0.0287991;0.172832;-3.57515;-9.78194;-0.0968347;2.16002;;
-0.387159;-0.0275504;48.5381;-0.696875;-18.201;0.0054309;;
